subcommand,available,human_used,llm_used,shared,human_exclusive,llm_exclusive,jaccard,human_coverage_pct,llm_coverage_pct
add,22,4,3,3,1,0,.7500,18.1,13.6
bisect,2,0,0,0,0,0,N/A,0,0
blame,33,0,0,0,0,0,N/A,0,0
branch,39,1,5,1,0,4,.2000,2.5,12.8
checkout,27,2,5,2,0,3,.4000,7.4,18.5
cherry-pick,21,2,4,1,1,3,.2000,9.5,19.0
clean,8,0,0,0,0,0,N/A,0,0
clone,40,4,5,3,1,2,.5000,10.0,12.5
commit,44,8,10,5,3,5,.3846,18.1,22.7
config,89,9,9,6,3,3,.5000,10.1,10.1
diff,90,9,14,7,2,7,.4375,10.0,15.5
fetch,46,7,7,5,2,2,.5555,15.2,15.2
grep,46,1,0,0,1,0,0,2.1,0
init,8,0,2,0,0,2,0,0,25.0
log,186,8,14,4,4,10,.2222,4.3,7.5
merge,33,0,5,0,0,5,0,0,15.1
pull,57,1,2,0,1,2,0,1.7,3.5
push,27,3,4,2,1,2,.4000,11.1,14.8
rebase,52,1,4,0,1,4,0,1.9,7.6
remote,1,1,1,1,0,0,1.0000,100.0,100.0
reset,14,2,3,2,0,1,.6666,14.2,21.4
revert,16,0,0,0,0,0,N/A,0,0
rm,9,0,3,0,0,3,0,0,33.3
show,114,1,4,0,1,4,0,.8,3.5
stash,16,0,0,0,0,0,N/A,0,0
status,15,1,2,1,0,1,.5000,6.6,13.3
submodule,26,0,0,0,0,0,N/A,0,0
switch,15,1,0,0,1,0,0,6.6,0
tag,27,6,6,4,2,2,.5000,22.2,22.2
worktree,17,0,0,0,0,0,N/A,0,0
