file,provenance,repo,path,evidence
systemd_systemd__coccinelle_run-coccinelle.sh,human,systemd/systemd,coccinelle/run-coccinelle.sh,committed_before_2020
systemd_systemd__man_50-xdg-data-dirs.sh,human,systemd/systemd,man/50-xdg-data-dirs.sh,committed_before_2020
systemd_systemd__man_yubikey-crypttab.sh,human,systemd/systemd,man/yubikey-crypttab.sh,committed_before_2020
systemd_systemd__src_basic_generate-af-list.sh,human,systemd/systemd,src/basic/generate-af-list.sh,committed_before_2020
systemd_systemd__src_basic_generate-arphrd-list.sh,human,systemd/systemd,src/basic/generate-arphrd-list.sh,committed_before_2020
systemd_systemd__src_basic_generate-errno-list.sh,human,systemd/systemd,src/basic/generate-errno-list.sh,committed_before_2020
systemd_systemd__src_shared_generate-ip-protocol-list.sh,human,systemd/systemd,src/shared/generate-ip-protocol-list.sh,committed_before_2020
systemd_systemd__src_udev_generate-keyboard-keys-gperf.sh,human,systemd/systemd,src/udev/generate-keyboard-keys-gperf.sh,committed_before_2020
systemd_systemd__src_udev_generate-keyboard-keys-list.sh,human,systemd/systemd,src/udev/generate-keyboard-keys-list.sh,committed_before_2020
systemd_systemd__test_hwdb-test.sh,human,systemd/systemd,test/hwdb-test.sh,committed_before_2020
git_git__Documentation_install-doc-quick.sh,human,git/git,Documentation/install-doc-quick.sh,committed_before_2020
git_git__Documentation_install-webdoc.sh,human,git/git,Documentation/install-webdoc.sh,committed_before_2020
git_git__Documentation_technical_api-index.sh,human,git/git,Documentation/technical/api-index.sh,committed_before_2020
git_git__ci_install-dependencies.sh,human,git/git,ci/install-dependencies.sh,committed_before_2020
git_git__ci_lib.sh,human,git/git,ci/lib.sh,committed_before_2020
git_git__ci_make-test-artifacts.sh,human,git/git,ci/make-test-artifacts.sh,committed_before_2020
git_git__ci_mount-fileshare.sh,human,git/git,ci/mount-fileshare.sh,committed_before_2020
git_git__ci_print-test-failures.sh,human,git/git,ci/print-test-failures.sh,committed_before_2020
git_git__ci_run-build-and-tests.sh,human,git/git,ci/run-build-and-tests.sh,committed_before_2020
git_git__ci_run-static-analysis.sh,human,git/git,ci/run-static-analysis.sh,committed_before_2020
git_git__ci_run-test-slice.sh,human,git/git,ci/run-test-slice.sh,committed_before_2020
git_git__ci_test-documentation.sh,human,git/git,ci/test-documentation.sh,committed_before_2020
git_git__ci_util_extract-trash-dirs.sh,human,git/git,ci/util/extract-trash-dirs.sh,committed_before_2020
git_git__contrib_completion_git-completion.bash,human,git/git,contrib/completion/git-completion.bash,committed_before_2020
git_git__contrib_completion_git-prompt.sh,human,git/git,contrib/completion/git-prompt.sh,committed_before_2020
git_git__contrib_credential_netrc_t-git-credential-netrc.sh,human,git/git,contrib/credential/netrc/t-git-credential-netrc.sh,committed_before_2020
git_git__contrib_diff-highlight_t_t9400-diff-highlight.sh,human,git/git,contrib/diff-highlight/t/t9400-diff-highlight.sh,committed_before_2020
openssl_openssl__demos_certs_apps_mkacerts.sh,human,openssl/openssl,demos/certs/apps/mkacerts.sh,committed_before_2020
openssl_openssl__demos_certs_apps_mkxcerts.sh,human,openssl/openssl,demos/certs/apps/mkxcerts.sh,committed_before_2020
openssl_openssl__demos_certs_mkcerts.sh,human,openssl/openssl,demos/certs/mkcerts.sh,committed_before_2020
openssl_openssl__demos_certs_ocspquery.sh,human,openssl/openssl,demos/certs/ocspquery.sh,committed_before_2020
openssl_openssl__demos_certs_ocsprun.sh,human,openssl/openssl,demos/certs/ocsprun.sh,committed_before_2020
openssl_openssl__test_certs_mkcert.sh,human,openssl/openssl,test/certs/mkcert.sh,committed_before_2020
openssl_openssl__test_certs_setup.sh,human,openssl/openssl,test/certs/setup.sh,committed_before_2020
openssl_openssl__test_recipes_95-test_external_krb5_data_krb5.sh,human,openssl/openssl,test/recipes/95-test_external_krb5_data/krb5.sh,committed_before_2020
openssl_openssl__test_recipes_95-test_external_pyca_data_cryptography.sh,human,openssl/openssl,test/recipes/95-test_external_pyca_data/cryptography.sh,committed_before_2020
openssl_openssl__test_smime-certs_mksmime-certs.sh,human,openssl/openssl,test/smime-certs/mksmime-certs.sh,committed_before_2020
curl_curl__scripts_contributors.sh,human,curl/curl,scripts/contributors.sh,committed_before_2020
curl_curl__scripts_contrithanks.sh,human,curl/curl,scripts/contrithanks.sh,committed_before_2020
curl_curl__scripts_coverage.sh,human,curl/curl,scripts/coverage.sh,committed_before_2020
curl_curl__scripts_installcheck.sh,human,curl/curl,scripts/installcheck.sh,committed_before_2020
tmux_tmux__autogen.sh,human,tmux/tmux,autogen.sh,committed_before_2020
tmux_tmux__regress_capture-pane-sgr0.sh,human,tmux/tmux,regress/capture-pane-sgr0.sh,committed_before_2020
tmux_tmux__regress_command-order.sh,human,tmux/tmux,regress/command-order.sh,committed_before_2020
tmux_tmux__regress_conf-syntax.sh,human,tmux/tmux,regress/conf-syntax.sh,committed_before_2020
tmux_tmux__regress_control-client-sanity.sh,human,tmux/tmux,regress/control-client-sanity.sh,committed_before_2020
tmux_tmux__regress_control-client-size.sh,human,tmux/tmux,regress/control-client-size.sh,committed_before_2020
tmux_tmux__regress_cursor-test1.sh,human,tmux/tmux,regress/cursor-test1.sh,committed_before_2020
tmux_tmux__regress_cursor-test2.sh,human,tmux/tmux,regress/cursor-test2.sh,committed_before_2020
tmux_tmux__regress_cursor-test3.sh,human,tmux/tmux,regress/cursor-test3.sh,committed_before_2020
tmux_tmux__regress_cursor-test4.sh,human,tmux/tmux,regress/cursor-test4.sh,committed_before_2020
tmux_tmux__regress_format-strings.sh,human,tmux/tmux,regress/format-strings.sh,committed_before_2020
tmux_tmux__regress_has-session-return.sh,human,tmux/tmux,regress/has-session-return.sh,committed_before_2020
tmux_tmux__regress_if-shell-TERM.sh,human,tmux/tmux,regress/if-shell-TERM.sh,committed_before_2020
