study,tool,short_options,long_options,total
gnu,arch,0,2,2
gnu,awk,29,29,58
gnu,b2sum,6,13,19
gnu,base32,3,5,8
gnu,base64,3,5,8
gnu,basename,3,5,8
gnu,basenc,3,14,17
gnu,cat,10,9,19
gnu,chcon,10,13,23
gnu,chgrp,8,13,21
gnu,chmod,8,12,20
gnu,chown,8,13,21
gnu,chroot,1,5,6
gnu,cksum,7,16,23
gnu,cmp,6,8,14
gnu,comm,4,7,11
gnu,cp,21,30,51
gnu,csplit,6,10,16
gnu,cut,8,10,18
gnu,date,7,13,20
gnu,dd,0,2,2
gnu,df,12,17,29
gnu,diff,31,48,79
gnu,diff3,12,13,25
gnu,dir,40,44,84
gnu,dircolors,3,8,11
gnu,dirname,1,3,4
gnu,du,20,25,45
gnu,echo,0,1,1
gnu,egrep,35,48,83
gnu,env,7,13,20
gnu,expand,2,4,6
gnu,expr,0,2,2
gnu,factor,1,3,4
gnu,fgrep,35,48,83
gnu,find,80,2,82
gnu,fmt,7,9,16
gnu,fold,4,6,10
gnu,gawk,29,29,58
gnu,grep,35,48,83
gnu,groups,0,2,2
gnu,gunzip,11,14,25
gnu,gzip,17,19,36
gnu,head,5,8,13
gnu,hostid,0,2,2
gnu,id,8,9,17
gnu,install,15,18,33
gnu,join,11,7,18
gnu,link,0,2,2
gnu,ln,14,15,29
gnu,logname,0,2,2
gnu,ls,40,44,84
gnu,md5sum,5,12,17
gnu,mkdir,4,6,10
gnu,mkfifo,2,4,6
gnu,mknod,2,4,6
gnu,mktemp,5,7,12
gnu,mv,10,16,26
gnu,nice,1,3,4
gnu,nl,11,13,24
gnu,nohup,0,2,2
gnu,nproc,0,4,4
gnu,numfmt,4,18,22
gnu,od,17,11,28
gnu,paste,3,5,8
gnu,pathchk,2,3,5
gnu,pinky,9,3,12
gnu,pr,23,26,49
gnu,printenv,1,3,4
gnu,ptx,17,18,35
gnu,readlink,8,10,18
gnu,realpath,8,13,21
gnu,rm,7,10,17
gnu,rmdir,2,5,7
