dataset,unit,option,human_uses,llm_uses,human_pct,llm_pct,status
ci,docker_build,--build-arg,2,0,2.020,0.000,human_only
ci,docker_build,-f,2,0,2.020,0.000,human_only
ci,docker_build,-t,2,2,2.020,1.653,shared
ci,docker_build,--no-cache,1,0,1.010,0.000,human_only
ci,docker_build,--pull,1,0,1.010,0.000,human_only
ci,docker_build,--tag,1,0,1.010,0.000,human_only
ci,docker_build,--target,0,1,0.000,0.826,llm_only
ci,docker-compose_down,--remove-orphans,0,2,0.000,1.653,llm_only
ci,docker-compose_down,-v,0,2,0.000,1.653,llm_only
ci,docker-compose_exec,-T,0,4,0.000,3.306,llm_only
ci,docker-compose_up,-d,0,1,0.000,0.826,llm_only
ci,docker_exec,-t,7,0,7.071,0.000,human_only
ci,docker_exec,-e,1,0,1.010,0.000,human_only
ci,docker_exec,-i,1,0,1.010,0.000,human_only
ci,docker_exec,-u,1,0,1.010,0.000,human_only
ci,docker_exec,-w,1,0,1.010,0.000,human_only
ci,docker_inspect,--format,0,5,0.000,4.132,llm_only
ci,docker_ps,-q,4,0,4.040,0.000,human_only
ci,docker_ps,--all,2,0,2.020,0.000,human_only
ci,docker_rm,-f,1,0,1.010,0.000,human_only
ci,docker_run,-v,5,0,5.051,0.000,human_only
ci,docker_run,-c,4,0,4.040,0.000,human_only
ci,docker_run,--name,4,1,4.040,0.826,shared
ci,docker_run,--rm,4,2,4.040,1.653,shared
ci,docker_run,-e,3,0,3.030,0.000,human_only
ci,docker_run,--interactive,3,0,3.030,0.000,human_only
ci,docker_run,-w,2,0,2.020,0.000,human_only
ci,docker_run,-p,1,0,1.010,0.000,human_only
ci,docker_run,--platform,1,0,1.010,0.000,human_only
ci,docker_run,--privileged,1,0,1.010,0.000,human_only
ci,docker_run,-u,1,0,1.010,0.000,human_only
ci,docker_run,-d,0,1,0.000,0.826,llm_only
ci,docker_run,--entrypoint,0,1,0.000,0.826,llm_only
ci,docker_version,-f,1,0,1.010,0.000,human_only
ci,npm_audit,--audit-level,0,7,0.000,5.785,llm_only
ci,npm_audit,--force,0,1,0.000,0.826,llm_only
ci,npm_audit,--json,0,6,0.000,4.959,llm_only
ci,npm_ci,--ignore-scripts,0,2,0.000,1.653,llm_only
ci,npm_ci,--no-audit,0,1,0.000,0.826,llm_only
ci,npm_ci,-w,0,1,0.000,0.826,llm_only
ci,npm_init,-y,0,1,0.000,0.826,llm_only
ci,npm_install,-g,2,52,2.020,42.975,shared
ci,npm_install,--global,1,0,1.010,0.000,human_only
ci,npm_install,--package-lock-only,0,3,0.000,2.479,llm_only
ci,npm_install,--save-dev,0,3,0.000,2.479,llm_only
ci,npm_outdated,--json,0,2,0.000,1.653,llm_only
ci,npm_update,--save,0,1,0.000,0.826,llm_only
ci,npm_view,--json,0,1,0.000,0.826,llm_only
ci,pip_install,-r,14,6,14.141,4.959,shared
ci,pip_install,--upgrade,9,7,9.091,5.785,shared
ci,pip_install,-e,5,1,5.051,0.826,shared
ci,pip_install,--no-build-isolation,3,0,3.030,0.000,human_only
ci,pip_install,-U,2,0,2.020,0.000,human_only
ci,pip_install,-f,1,0,1.010,0.000,human_only
ci,pip_install,-i,1,0,1.010,0.000,human_only
ci,pip_install,--no-deps,1,0,1.010,0.000,human_only
ci,pip_install,--no-index,1,0,1.010,0.000,human_only
ci,pip_install,--pre,1,0,1.010,0.000,human_only
ci,pip_install,--no-binary,0,1,0.000,0.826,llm_only
ci,pip_install,-q,0,1,0.000,0.826,llm_only
ci,pip_install,--quiet,0,2,0.000,1.653,llm_only
ci,pip_show,-f,1,0,1.010,0.000,human_only
git,add,-A,4,40,0.602,2.635,shared
git,add,-u,2,3,0.301,0.198,shared
git,add,-f,1,1,0.150,0.066,shared
git,add,-N,1,0,0.150,0.000,human_only
git,add,--all,0,3,0.000,0.198,llm_only
git,branch,-r,1,5,0.150,0.329,shared
git,branch,-D,0,5,0.000,0.329,llm_only
git,branch,--format,0,1,0.000,0.066,llm_only
git,branch,--list,0,2,0.000,0.132,llm_only
git,branch,--show-current,0,18,0.000,1.186,llm_only
git,checkout,-b,12,56,1.805,3.689,shared
git,checkout,--theirs,3,0,0.451,0.000,human_only
git,checkout,-q,2,4,0.301,0.264,shared
git,checkout,--detach,1,1,0.150,0.066,shared
git,checkout,-B,0,5,0.000,0.329,llm_only
git,checkout,--no-overlay,0,1,0.000,0.066,llm_only
git,checkout,--orphan,0,4,0.000,0.264,llm_only
git,checkout,--ours,0,2,0.000,0.132,llm_only
git,cherry-pick,--abort,1,1,0.150,0.066,shared
git,cherry-pick,-m,1,0,0.150,0.000,human_only
git,cherry-pick,--continue,0,5,0.000,0.329,llm_only
git,cherry-pick,-S,0,1,0.000,0.066,llm_only
git,cherry-pick,--signoff,0,1,0.000,0.066,llm_only
git,cherry-pick,--strategy-option,0,1,0.000,0.066,llm_only
git,clone,--recursive,4,2,0.602,0.132,shared
git,clone,--branch,2,6,0.301,0.395,shared
git,clone,--depth,2,23,0.301,1.515,shared
git,clone,-o,1,0,0.150,0.000,human_only
git,clone,--recurse-submodules,1,2,0.150,0.132,shared
git,clone,--filter,0,1,0.000,0.066,llm_only
git,clone,--quiet,0,1,0.000,0.066,llm_only
git,clone,--sparse,0,1,0.000,0.066,llm_only
git,commit,-m,25,158,3.759,10.408,shared
git,commit,--allow-empty,5,1,0.752,0.066,shared
git,commit,-v,4,0,0.602,0.000,human_only
git,commit,--amend,3,3,0.451,0.198,shared
git,commit,--no-edit,3,4,0.451,0.264,shared
