dataset,population,unit,option_a,option_b,cooccur_count
ci,human,docker_build,--build-arg,-f,2
ci,human,docker_build,--build-arg,-t,2
ci,human,docker_build,-f,-t,2
ci,human,docker_build,--no-cache,--pull,1
ci,human,docker_build,--no-cache,--tag,1
ci,human,docker_build,--pull,--tag,1
ci,human,docker_buildx,--build-arg,-f,1
ci,human,docker_buildx,--build-arg,-o,1
ci,human,docker_buildx,--build-arg,--platform,1
ci,human,docker_buildx,-f,-o,1
ci,human,docker_buildx,--platform,-f,1
ci,human,docker_buildx,--platform,-o,1
ci,human,docker_buildx,--print,-cr,1
ci,human,docker_exec,-c,-t,7
ci,human,docker_exec,-R,-c,3
ci,human,docker_exec,-R,-t,3
ci,human,docker_exec,--format,-it,2
ci,human,docker_exec,-c,-ex,1
ci,human,docker_exec,-c,-w,1
ci,human,docker_exec,-e,-i,1
ci,human,docker_exec,-e,-u,1
ci,human,docker_exec,-i,-u,1
ci,human,docker_exec,-Lr,-c,1
ci,human,docker_exec,-Lr,-R,1
ci,human,docker_exec,-Lr,-t,1
ci,human,docker_exec,-t,-w,1
ci,human,docker_rm,-aq,-f,1
ci,human,docker_run,-c,-v,3
ci,human,docker_run,--interactive,-c,3
ci,human,docker_run,--interactive,-v,3
ci,human,docker_run,--interactive,--name,2
ci,human,docker_run,--name,-c,2
ci,human,docker_run,--name,-e,2
ci,human,docker_run,--name,-v,2
ci,human,docker_run,--rm,-v,2
ci,human,docker_run,-c,-n,1
ci,human,docker_run,-c,-w,1
ci,human,docker_run,-g,-u,1
ci,human,docker_run,-g,-v,1
ci,human,docker_run,-g,-w,1
ci,human,docker_run,--interactive,--rm,1
ci,human,docker_run,-n,-w,1
ci,human,docker_run,--platform,-v,1
ci,human,docker_run,--privileged,-p,1
ci,human,docker_run,--privileged,--reset,1
ci,human,docker_run,--privileged,--rm,1
ci,human,docker_run,--reset,-p,1
ci,human,docker_run,--reset,--rm,1
ci,human,docker_run,-R,-g,1
ci,human,docker_run,--rm,-c,1
ci,human,docker_run,--rm,-g,1
ci,human,docker_run,--rm,-p,1
ci,human,docker_run,--rm,-R,1
ci,human,docker_run,--rm,-u,1
ci,human,docker_run,--rm,-w,1
ci,human,docker_run,-R,-u,1
ci,human,docker_run,-R,-v,1
ci,human,docker_run,-R,-w,1
ci,human,docker_run,-u,-v,1
ci,human,docker_run,-u,-w,1
ci,human,docker_run,-v,-w,1
ci,human,docker_volume,-f,-q,1
ci,human,npm_i,-f,-g,8
ci,human,npm_i,-f,-s,8
ci,human,npm_i,-g,-s,8
ci,human,npm_install,--prefix,--production,6
ci,human,pip_install,--no-build-isolation,-e,3
ci,human,pip_install,-e,-r,2
ci,human,pip_install,--no-build-isolation,--no-use-pep517,2
ci,human,pip_install,--no-use-pep517,-e,2
ci,human,pip_install,--no-build-isolation,--no-index,1
ci,human,pip_install,--no-deps,-U,1
