dataset,population,file,unit,option
gnu,human,acmesh-official_acme.sh__acme.sh,date,
gnu,human,acmesh-official_acme.sh__acme.sh,echo,
gnu,human,acmesh-official_acme.sh__acme.sh,echo,
gnu,human,acmesh-official_acme.sh__acme.sh,echo,
gnu,human,acmesh-official_acme.sh__acme.sh,echo,
gnu,human,acmesh-official_acme.sh__acme.sh,echo,
gnu,human,acmesh-official_acme.sh__acme.sh,echo,
gnu,human,acmesh-official_acme.sh__acme.sh,echo,
gnu,human,acmesh-official_acme.sh__acme.sh,echo,
gnu,human,acmesh-official_acme.sh__acme.sh,date,
gnu,human,acmesh-official_acme.sh__acme.sh,tr,
gnu,human,acmesh-official_acme.sh__acme.sh,tr,
gnu,human,acmesh-official_acme.sh__acme.sh,echo,
gnu,human,acmesh-official_acme.sh__acme.sh,grep,
gnu,human,acmesh-official_acme.sh__acme.sh,echo,
gnu,human,acmesh-official_acme.sh__acme.sh,grep,
gnu,human,acmesh-official_acme.sh__acme.sh,echo,
gnu,human,acmesh-official_acme.sh__acme.sh,grep,
gnu,human,acmesh-official_acme.sh__acme.sh,echo,
gnu,human,acmesh-official_acme.sh__acme.sh,tr,
gnu,human,acmesh-official_acme.sh__acme.sh,echo,
gnu,human,acmesh-official_acme.sh__acme.sh,cut,-d
gnu,human,acmesh-official_acme.sh__acme.sh,cut,-f
gnu,human,acmesh-official_acme.sh__acme.sh,cat,
gnu,human,acmesh-official_acme.sh__acme.sh,echo,
gnu,human,acmesh-official_acme.sh__acme.sh,sed,
gnu,human,acmesh-official_acme.sh__acme.sh,echo,
gnu,human,acmesh-official_acme.sh__acme.sh,sed,
gnu,human,acmesh-official_acme.sh__acme.sh,echo,
gnu,human,acmesh-official_acme.sh__acme.sh,sed,
gnu,human,acmesh-official_acme.sh__acme.sh,uname,-a
gnu,human,acmesh-official_acme.sh__acme.sh,uname,-a
gnu,human,acmesh-official_acme.sh__acme.sh,cut,-c
gnu,human,acmesh-official_acme.sh__acme.sh,od,-A
gnu,human,acmesh-official_acme.sh__acme.sh,od,-v
gnu,human,acmesh-official_acme.sh__acme.sh,od,-t
gnu,human,acmesh-official_acme.sh__acme.sh,tr,-s
gnu,human,acmesh-official_acme.sh__acme.sh,sed,
gnu,human,acmesh-official_acme.sh__acme.sh,tr,-d
gnu,human,acmesh-official_acme.sh__acme.sh,sed,
gnu,human,acmesh-official_acme.sh__acme.sh,tr,-d
gnu,human,acmesh-official_acme.sh__acme.sh,tr,-s
gnu,human,acmesh-official_acme.sh__acme.sh,cat,
gnu,human,acmesh-official_acme.sh__acme.sh,sed,
gnu,human,acmesh-official_acme.sh__acme.sh,sed,
gnu,human,acmesh-official_acme.sh__acme.sh,echo,
gnu,human,acmesh-official_acme.sh__acme.sh,sed,
gnu,human,acmesh-official_acme.sh__acme.sh,tr,-d
gnu,human,acmesh-official_acme.sh__acme.sh,tr,-d
gnu,human,acmesh-official_acme.sh__acme.sh,grep,
gnu,human,acmesh-official_acme.sh__acme.sh,sed,-i
gnu,human,acmesh-official_acme.sh__acme.sh,cat,
gnu,human,acmesh-official_acme.sh__acme.sh,echo,
gnu,human,acmesh-official_acme.sh__acme.sh,sed,
gnu,human,acmesh-official_acme.sh__acme.sh,sed,-n
gnu,human,acmesh-official_acme.sh__acme.sh,grep,-n
gnu,human,acmesh-official_acme.sh__acme.sh,cut,-d
gnu,human,acmesh-official_acme.sh__acme.sh,cut,-f
gnu,human,acmesh-official_acme.sh__acme.sh,grep,-n
gnu,human,acmesh-official_acme.sh__acme.sh,cut,-d
gnu,human,acmesh-official_acme.sh__acme.sh,cut,-f
gnu,human,acmesh-official_acme.sh__acme.sh,sed,-n
gnu,human,acmesh-official_acme.sh__acme.sh,tr,-d
gnu,human,acmesh-official_acme.sh__acme.sh,cut,-d
gnu,human,acmesh-official_acme.sh__acme.sh,cut,-f
gnu,human,acmesh-official_acme.sh__acme.sh,tr,-d
gnu,human,acmesh-official_acme.sh__acme.sh,cut,-d
gnu,human,acmesh-official_acme.sh__acme.sh,cut,-f
gnu,human,acmesh-official_acme.sh__acme.sh,tr,-d
