file,program,subcommand,options,option_count
babel_babel__.github_workflows_ci.yml,npm,ci,,0
babel_babel__.github_workflows_ci.yml,npm,ci,,0
babel_babel__.github_workflows_ci.yml,npm,ci,,0
babel_babel__.github_workflows_issue-triage.yml,npm,cache,,0
babel_babel__.github_workflows_issue-triage.yml,npm,website,,0
babel_babel__.github_workflows_issue-triage.yml,npm,can,,0
babel_babel__.github_workflows_issue-triage.yml,npm,is,,0
containerd_containerd__.github_workflows_release.yml,docker,buildx,--build-arg --platform -f -o,4
django_django__.github_workflows_benchmark.yml,pip,install,-r,1
django_django__.github_workflows_docs.yml,pip,install,-r,1
django_django__.github_workflows_linters.yml,pip,install,,0
django_django__.github_workflows_linters.yml,pip,install,,0
django_django__.github_workflows_schedule_tests.yml,pip,install,--upgrade,1
django_django__.github_workflows_schedule_tests.yml,pip,setuptools,,0
django_django__.github_workflows_schedule_tests.yml,pip,install,-e -r,2
django_django__.github_workflows_schedule_tests.yml,npm,install,,0
django_django__.github_workflows_schedule_tests.yml,npm,test,,0
django_django__.github_workflows_tests.yml,pip,install,--upgrade,1
django_django__.github_workflows_tests.yml,pip,setuptools,,0
django_django__.github_workflows_tests.yml,pip,install,-e -r,2
django_django__.github_workflows_tests.yml,npm,install,,0
django_django__.github_workflows_tests.yml,npm,test,,0
docker_cli__.github_workflows_e2e.yml,docker,restart,,0
docker_cli__.github_workflows_e2e.yml,docker,version,,0
docker_cli__.github_workflows_e2e.yml,docker,info,,0
docker_compose__.github_workflows_ci.yml,docker,buildx,--print -cr,2
docker_compose__.github_workflows_ci.yml,docker,version,,0
docker_compose__.github_workflows_merge.yml,docker,ps,--all,1
docker_compose__.github_workflows_merge.yml,docker,volume,,0
docker_compose__.github_workflows_merge.yml,docker,network,,0
docker_compose__.github_workflows_merge.yml,docker,image,,0
docker_compose__.github_workflows_merge.yml,docker,kill,-q,1
docker_compose__.github_workflows_merge.yml,docker,ps,-q,1
docker_compose__.github_workflows_merge.yml,docker,rm,-aq -f,2
docker_compose__.github_workflows_merge.yml,docker,ps,-aq,1
docker_compose__.github_workflows_merge.yml,docker,volume,-f -q,2
docker_compose__.github_workflows_merge.yml,docker,volume,-q,1
docker_compose__.github_workflows_merge.yml,docker,ps,--all,1
eslint_eslint__.github_workflows_ci.yml,npm,install,,0
eslint_eslint__.github_workflows_ci.yml,npm,install,,0
eslint_eslint__.github_workflows_ci.yml,npm,run-script,,0
eslint_eslint__.github_workflows_ci.yml,npm,install,,0
eslint_eslint__.github_workflows_ci.yml,npm,install,,0
grafana_grafana__.github_workflows_backport.yml,npm,install,--prefix --production,2
grafana_grafana__.github_workflows_bump-version.yml,npm,install,--prefix --production,2
grafana_grafana__.github_workflows_close-milestone.yml,npm,install,--prefix --production,2
grafana_grafana__.github_workflows_commands.yml,npm,install,--prefix --production,2
grafana_grafana__.github_workflows_enterprise-pr-check.yml,npm,install,--prefix --production,2
grafana_grafana__.github_workflows_github-release.yml,npm,install,--prefix --production,2
moby_moby__.github_workflows_.dco.yml,docker,run,--rm,1
moby_moby__.github_workflows_.windows.yml,docker,info,,0
moby_moby__.github_workflows_.windows.yml,docker,pull,,0
moby_moby__.github_workflows_.windows.yml,docker,tag,,0
moby_moby__.github_workflows_.windows.yml,docker,build,--build-arg -f -t,3
moby_moby__.github_workflows_.windows.yml,docker,run,--name -e,2
