file,program,subcommand,options,option_count
3453-315h_superset__.github_workflows_generate-changelog.yml,npm,install,-g,1
3453-315h_superset__.github_workflows_update-docs.yml,npm,install,-g,1
Abonmarche_CAD-Cost-Estimator-App__.github_workflows_autofix.yml,npm,ci,,0
Abonmarche_CAD-Cost-Estimator-App__.github_workflows_autofix.yml,npm,ci,,0
Abonmarche_CAD-Cost-Estimator-App__.github_workflows_autofix.yml,npm,test,,0
Abonmarche_CAD-Cost-Estimator-App__.github_workflows_autofix.yml,npm,run-script,,0
Abonmarche_CAD-Cost-Estimator-App__.github_workflows_autofix.yml,npm,run-script,,0
Abonmarche_CAD-Cost-Estimator-App__.github_workflows_autofix.yml,npm,test,,0
Abonmarche_CAD-Cost-Estimator-App__.github_workflows_autofix.yml,npm,ci,,0
AndyZhengyan_oh-my-getnote__.github_workflows_auto-review.yml,npm,install,-g,1
BilLogic_plus-uno__.github_workflows_figma-implement-design.yml,npm,run-script,,0
BilLogic_plus-uno__.github_workflows_figma-implement-design.yml,npm,run-script,,0
BioSensorsLab-Illinois_bsl_universal__.github_workflows_auto-fix.yml,pip,install,--quiet,1
Buleje_Mercado__.github_workflows_claude-autonomous.yml,npm,ci,,0
Buleje_Mercado__.github_workflows_claude-autonomous.yml,npm,install,-g,1
Buleje_Mercado__.github_workflows_claude-autonomous.yml,npm,ci,,0
Buleje_Mercado__.github_workflows_claude-autonomous.yml,npm,run-script,,0
Buleje_Mercado__.github_workflows_claude-autonomous.yml,npm,run-script,,0
Buleje_Mercado__.github_workflows_claude-autonomous.yml,npm,run-script,,0
Buleje_Mercado__.github_workflows_claude-autonomous.yml,npm,ci,,0
Buleje_Mercado__.github_workflows_claude-autonomous.yml,npm,audit,--audit-level,1
Buleje_Mercado__.github_workflows_claude-autonomous.yml,npm,run-script,,0
Buleje_Mercado__.github_workflows_claude-autonomous.yml,npm,run-script,,0
Buleje_Mercado__.github_workflows_claude-autonomous.yml,npm,run-script,,0
Buleje_Mercado__.github_workflows_claude-autonomous.yml,npm,ci,,0
ChipFlow_chipflow-docs__.github_workflows_docs-review.yml,pip,install,,0
ChipFlow_chipflow-docs__.github_workflows_docs-review.yml,npm,install,-g,1
Coffee-Code-Philly-Accelerator_CCP-Digital-Marketing__.github_workflows_autonomous-code-scanner.yml,pip,install,,0
Coffee-Code-Philly-Accelerator_CCP-Digital-Marketing__.github_workflows_autonomous-code-scanner.yml,pip,install,,0
Coffee-Code-Philly-Accelerator_CCP-Digital-Marketing__.github_workflows_autonomous-code-scanner.yml,pip,install,,0
Coffee-Code-Philly-Accelerator_CCP-Digital-Marketing__.github_workflows_autonomous-code-scanner.yml,pip,install,,0
Coffee-Code-Philly-Accelerator_CCP-Digital-Marketing__.github_workflows_autonomous-code-scanner.yml,pip,install,,0
Coffee-Code-Philly-Accelerator_CCP-Digital-Marketing__.github_workflows_autonomous-code-scanner.yml,pip,install,,0
Coffee-Code-Philly-Accelerator_CCP-Digital-Marketing__.github_workflows_nightly-docs-update.yml,pip,install,,0
Dutch-Laravel-Foundation_best-practices__.github_workflows_ai-feedback.yml,npm,init,-y,1
Dutch-Laravel-Foundation_best-practices__.github_workflows_ai-feedback.yml,npm,install,,0
KevinAmato_echosynch-website__.github_workflows_publish-blog.yml,npm,ci,,0
KevinAmato_echosynch-website__.github_workflows_publish-blog.yml,npm,install,,0
Light-Heart-Labs_DreamServer__.github_workflows_claude-review.yml,pip,install,,0
Light-Heart-Labs_DreamServer__.github_workflows_nightly-code-review.yml,pip,install,,0
MCPVOT_MCPVOTS__.github_workflows_ai-auto-update.yml,npm,outdated,--json,1
MCPVOT_MCPVOTS__.github_workflows_ai-auto-update.yml,npm,audit,--json,1
MCPVOT_MCPVOTS__.github_workflows_ai-auto-update.yml,npm,update,--save,1
MCPVOT_MCPVOTS__.github_workflows_ai-auto-update.yml,npm,install,,0
MCPVOT_MCPVOTS__.github_workflows_ai-auto-update.yml,npm,install,,0
MCPVOT_MCPVOTS__.github_workflows_ai-auto-update.yml,npm,test,,0
MCPVOT_MCPVOTS__.github_workflows_ai-auto-update.yml,npm,dependencies,,0
MCPVOT_MCPVOTS__.github_workflows_ai-auto-update.yml,npm,audit,--force,1
MCPVOT_MCPVOTS__.github_workflows_ai-auto-update.yml,npm,audit,--audit-level,1
MCPVOT_MCPVOTS__.github_workflows_ai-auto-update.yml,npm,test,,0
MCPVOT_MCPVOTS__.github_workflows_ai-auto-update.yml,npm,run-script,,0
MCPVOT_MCPVOTS__.github_workflows_ai-auto-update.yml,npm,audit,,0
