group,source_file,line_number,subcommand,options_all,num_options,options_valid,num_valid
human,human_apache__airflow__backport-cli.yml,73,config,"--global",1,"--global",1
human,human_apache__airflow__backport-cli.yml,74,config,"--global",1,"--global",1
human,human_apache__airflow__basic-tests.yml,339,config,"--global",1,"--global",1
human,human_apache__airflow__basic-tests.yml,340,config,"--global",1,"--global",1
human,human_apache__airflow__basic-tests.yml,361,fetch,"--tags",1,"",0
human,human_apache__airflow__ci-image-checks.yml,502,diff,"--color",1,"--color",1
human,human_apache__airflow__helm-tests.yml,117,config,"--global",1,"--global",1
human,human_apache__airflow__helm-tests.yml,118,config,"--global",1,"--global",1
human,human_apache__airflow__helm-tests.yml,145,fetch,"--tags",1,"",0
human,human_apache__airflow__publish-docs-to-s3.yml,265,config,"--global",1,"--global",1
human,human_apache__airflow__publish-docs-to-s3.yml,266,config,"--global",1,"--global",1
human,human_argoproj__argo-cd__cherry-pick-single.yml,58,config,"--global",1,"--global",1
human,human_argoproj__argo-cd__cherry-pick-single.yml,59,config,"--global",1,"--global",1
human,human_argoproj__argo-cd__cherry-pick-single.yml,80,checkout,"-b",1,"-b",1
human,human_argoproj__argo-cd__cherry-pick-single.yml,83,cherry-pick,"-m",1,"-m",1
human,human_argoproj__argo-cd__cherry-pick-single.yml,87,log,"--pretty",1,"--pretty",1
human,human_argoproj__argo-cd__cherry-pick-single.yml,103,cherry-pick,"--abort",1,"--abort",1
human,human_argoproj__argo-cd__ci-build.yaml,81,diff,"--exit-code",1,"--exit-code",1
human,human_argoproj__argo-cd__ci-build.yaml,174,switch,"-c",1,"-c",1
human,human_argoproj__argo-cd__ci-build.yaml,178,fetch,"--prune --no-tags --depth",3,"--prune --depth",2
human,human_argoproj__argo-cd__ci-build.yaml,203,config,"--global",1,"--global",1
human,human_argoproj__argo-cd__ci-build.yaml,204,config,"--global",1,"--global",1
human,human_argoproj__argo-cd__ci-build.yaml,247,switch,"-c",1,"-c",1
human,human_argoproj__argo-cd__ci-build.yaml,251,fetch,"--prune --no-tags --depth",3,"--prune --depth",2
human,human_argoproj__argo-cd__ci-build.yaml,276,config,"--global",1,"--global",1
human,human_argoproj__argo-cd__ci-build.yaml,277,config,"--global",1,"--global",1
human,human_argoproj__argo-cd__ci-build.yaml,346,diff,"--exit-code",1,"--exit-code",1
human,human_argoproj__argo-cd__ci-build.yaml,571,config,"--global",1,"--global",1
human,human_argoproj__argo-cd__ci-build.yaml,572,config,"--global",1,"--global",1
human,human_argoproj__argo-cd__image-reuse.yaml,150,status,"--porcelain`"",1,"",0
human,human_argoproj__argo-cd__image-reuse.yaml,153,status,"--porcelain`"",1,"",0
human,human_argoproj__argo-cd__image.yaml,159,config,"--global",1,"--global",1
human,human_argoproj__argo-cd__image.yaml,160,config,"--global",1,"--global",1
human,human_argoproj__argo-cd__image.yaml,161,diff,"--exit-code",1,"--exit-code",1
human,human_argoproj__argo-cd__init-release.yaml,79,add,"-u",1,"-u",1
human,human_argoproj__argo-cd__release.yaml,67,fetch,"--prune --tags --force",3,"--prune --force",2
human,human_argoproj__argo-cd__release.yaml,140,fetch,"--force --tags",2,"--force",1
human,human_argoproj__argo-cd__release.yaml,158,status,"--porcelain`"",1,"",0
human,human_argoproj__argo-cd__release.yaml,332,config,"--global",1,"--global",1
human,human_argoproj__argo-cd__release.yaml,333,config,"--global",1,"--global",1
human,human_argoproj__argo-cd__release.yaml,337,tag,"-f",1,"-f",1
human,human_argoproj__argo-cd__release.yaml,338,push,"-f",1,"-f",1
human,human_argoproj__argo-cd__update-snyk.yaml,103,checkout,"-b",1,"-b",1
human,human_argoproj__argo-cd__update-snyk.yaml,104,config,"--global",1,"--global",1
human,human_argoproj__argo-cd__update-snyk.yaml,105,config,"--global",1,"--global",1
human,human_argoproj__argo-cd__update-snyk.yaml,107,commit,"-m",1,"-m",1
human,human_argoproj__argo-cd__update-snyk.yaml,108,push,"--set-upstream",1,"",0
human,human_babel__babel__release.yml,37,diff,"--name-only",1,"--name-only",1
human,human_babel__babel__update-compat-data.yml,48,checkout,"-b",1,"-b",1
human,human_babel__babel__update-compat-data.yml,70,push,"--force",1,"",0
human,human_babel__babel__update-parser-tests.yml,47,checkout,"-b",1,"-b",1
human,human_babel__babel__update-parser-tests.yml,49,push,"--force",1,"",0
human,human_babel__babel__update-windows-fixtures.yml,60,reset,"--hard",1,"--hard",1
human,human_babel__babel__update-windows-fixtures.yml,74,commit,"-m",1,"-m",1
human,human_containerd__containerd__api-release.yml,34,tag,"-v",1,"-v",1
human,human_containerd__containerd__api-release.yml,49,tag,"-l",1,"-l",1
human,human_containerd__containerd__release.yml,38,config,"--global",1,"--global",1
human,human_containerd__containerd__release.yml,41,tag,"-v",1,"-v",1
human,human_containerd__containerd__release.yml,56,tag,"-l",1,"-l",1
human,human_containerd__containerd__windows-hyperv-periodic.yml,164,fetch,"--tags",1,"",0
human,human_cypress-io__cypress__update_v8_snapshot_cache.yml,112,status,"--porcelain",1,"--porcelain",1
human,human_django__django__check_commit_messages.yml,58,log,"--pretty",1,"--pretty",1
human,human_django__django__check_commit_messages.yml,94,log,"--pretty",1,"--pretty",1
human,human_facebook__react__runtime_build_and_test.yml,193,diff,"--exit-code",1,"--exit-code",1
human,human_facebook__react__runtime_build_and_test.yml,600,diff,"--exit-code",1,"--exit-code",1
human,human_facebook__react__runtime_commit_artifacts.yml,251,status,"--porcelain",1,"--porcelain",1
human,human_facebook__react__runtime_commit_artifacts.yml,291,config,"--global",1,"--global",1
human,human_facebook__react__runtime_commit_artifacts.yml,292,config,"--global",1,"--global",1
human,human_facebook__react__runtime_commit_artifacts.yml,295,commit,"-m",1,"-m",1
human,human_facebook__react__runtime_commit_artifacts.yml,336,diff,"--cached",1,"--cached",1
human,human_facebook__react__runtime_commit_artifacts.yml,415,status,"--porcelain",1,"--porcelain",1
human,human_facebook__react__runtime_commit_artifacts.yml,465,config,"--global",1,"--global",1
human,human_facebook__react__runtime_commit_artifacts.yml,466,config,"--global",1,"--global",1
human,human_facebook__react__runtime_commit_artifacts.yml,469,commit,"-m",1,"-m",1
human,human_fastapi__fastapi__pre-commit.yml,66,add,"-A",1,"-A",1
human,human_fastapi__fastapi__pre-commit.yml,67,diff,"--staged --quiet",2,"--quiet",1
human,human_fastapi__fastapi__pre-commit.yml,70,commit,"-m",1,"-m",1
human,human_git_git_ci_check-whitespace.sh,67,log,"--check --pretty",2,"--check --pretty",2
human,human_git_git_ci_check-whitespace.sh,78,rebase,"--whitespace",1,"--whitespace",1
human,human_git_git_ci_check-whitespace.sh,88,rebase,"--whitespace",1,"--whitespace",1
human,human_git_git_ci_check-whitespace.sh,89,push,"--force\`"",1,"",0
human,human_gitlabhq_gitlabhq_lib_gitlab_background_migration_remote_development_workspace_operations_create_bm_internal_poststart_command_clone_unshallow.sh,28,fetch,"--unshallow --progress",2,"--unshallow --progress",2
human,human_grafana__grafana__backend-code-checks.yml,57,diff,"--name-only)"",1,"",0
human,human_grafana__grafana__backend-code-checks.yml,59,diff,"--name-only",1,"--name-only",1
human,human_grafana__grafana__backend-code-checks.yml,102,diff,"--name-only --cached)"",2,"--name-only",1
human,human_grafana__grafana__backend-code-checks.yml,106,diff,"--cached",1,"--cached",1
human,human_grafana__grafana__backport-workflow.yml,66,config,"--local",1,"--local",1
human,human_grafana__grafana__backport-workflow.yml,67,config,"--local",1,"--local",1
human,human_grafana__grafana__backport-workflow.yml,68,config,"--local --add --bool",3,"--local --add --bool",3
human,human_grafana__grafana__bump-version.yml,45,config,"--local",1,"--local",1
human,human_grafana__grafana__bump-version.yml,46,config,"--local",1,"--local",1
human,human_grafana__grafana__bump-version.yml,47,config,"--local --add --bool",3,"--local --add --bool",3
human,human_grafana__grafana__bump-version.yml,48,checkout,"-b",1,"-b",1
human,human_grafana__grafana__bump-version.yml,50,commit,"-m",1,"-m",1
human,human_grafana__grafana__changelog.yml,95,config,"--local",1,"--local",1
human,human_grafana__grafana__changelog.yml,96,config,"--local",1,"--local",1
human,human_grafana__grafana__changelog.yml,97,config,"--local --add --bool",3,"--local --add --bool",3
human,human_grafana__grafana__changelog.yml,101,switch,"-c",1,"-c",1
human,human_grafana__grafana__changelog.yml,107,switch,"--track",1,"",0
human,human_grafana__grafana__changelog.yml,109,switch,"-c",1,"-c",1
human,human_grafana__grafana__changelog.yml,154,commit,"--allow-empty -m",2,"--allow-empty -m",2
human,human_grafana__grafana__frontend-lint.yml,219,add,"-N",1,"-N",1
human,human_grafana__grafana__frontend-lint.yml,221,diff,"--name-only",1,"--name-only",1
human,human_grafana__grafana__policybot.yml,37,diff,"--exit-code",1,"--exit-code",1
human,human_grafana__grafana__pr-dependabot-update-go-workspace.yml,55,config,"--local",1,"--local",1
human,human_grafana__grafana__pr-dependabot-update-go-workspace.yml,56,config,"--local",1,"--local",1
