file,tool,options,option_count
arch_arm64_boot_install.sh,basename,"",0
arch_arm64_boot_install.sh,basename,"",0
arch_arm64_boot_install.sh,echo,"",0
arch_arm64_boot_install.sh,echo,"",0
arch_arm64_boot_install.sh,mv,"",0
arch_arm64_boot_install.sh,cat,"",0
arch_arm64_boot_install.sh,mv,"",0
arch_arm64_boot_install.sh,cp,"",0
arch_arm64_kernel_vdso_gen_vdso_offsets.sh,sed,"-n -e -e",3
arch_arm_boot_deflate_xip_data.sh,sed,"-n",1
arch_arm_boot_deflate_xip_data.sh,echo,"",0
arch_arm_boot_deflate_xip_data.sh,mv,"-f",1
arch_arm_boot_install.sh,basename,"",0
arch_arm_boot_install.sh,echo,"",0
arch_arm_boot_install.sh,echo,"",0
arch_arm_boot_install.sh,mv,"",0
arch_arm_boot_install.sh,cat,"",0
arch_arm_boot_install.sh,mv,"",0
arch_arm_boot_install.sh,cp,"",0
arch_arm_boot_install.sh,echo,"",0
arch_arm_tools_syscallnr.sh,sed,"",0
arch_arm_tools_syscallnr.sh,grep,"-E",1
arch_arm_tools_syscallnr.sh,sort,"-n",1
arch_arm_tools_syscallnr.sh,tail,"-n",1
arch_arm_tools_syscallnr.sh,echo,"",0
arch_arm_tools_syscallnr.sh,echo,"",0
arch_arm_tools_syscallnr.sh,echo,"",0
arch_arm_tools_syscallnr.sh,echo,"",0
arch_arm_tools_syscallnr.sh,echo,"",0
arch_csky_kernel_vdso_so2s.sh,sed,"",0
arch_csky_kernel_vdso_so2s.sh,grep,"",0
arch_loongarch_boot_install.sh,echo,"",0
arch_loongarch_boot_install.sh,echo,"",0
arch_loongarch_boot_install.sh,echo,"",0
arch_loongarch_boot_install.sh,echo,"",0
arch_loongarch_boot_install.sh,mv,"",0
arch_loongarch_boot_install.sh,cat,"",0
arch_loongarch_boot_install.sh,mv,"",0
arch_loongarch_boot_install.sh,cp,"",0
arch_loongarch_boot_install.sh,mv,"",0
arch_loongarch_boot_install.sh,cp,"",0
arch_m68k_install.sh,mv,"",0
arch_m68k_install.sh,mv,"",0
arch_m68k_install.sh,cat,"",0
