file,tool,options,option_count
acmesh-official_acme.sh__acme.sh,date,"",0
acmesh-official_acme.sh__acme.sh,echo,"",0
acmesh-official_acme.sh__acme.sh,echo,"",0
acmesh-official_acme.sh__acme.sh,echo,"",0
acmesh-official_acme.sh__acme.sh,echo,"",0
acmesh-official_acme.sh__acme.sh,echo,"",0
acmesh-official_acme.sh__acme.sh,echo,"",0
acmesh-official_acme.sh__acme.sh,echo,"",0
acmesh-official_acme.sh__acme.sh,echo,"",0
acmesh-official_acme.sh__acme.sh,date,"",0
acmesh-official_acme.sh__acme.sh,tr,"",0
acmesh-official_acme.sh__acme.sh,tr,"",0
acmesh-official_acme.sh__acme.sh,echo,"",0
acmesh-official_acme.sh__acme.sh,grep,"",0
acmesh-official_acme.sh__acme.sh,echo,"",0
acmesh-official_acme.sh__acme.sh,grep,"",0
acmesh-official_acme.sh__acme.sh,echo,"",0
acmesh-official_acme.sh__acme.sh,grep,"",0
acmesh-official_acme.sh__acme.sh,echo,"",0
acmesh-official_acme.sh__acme.sh,tr,"",0
acmesh-official_acme.sh__acme.sh,echo,"",0
acmesh-official_acme.sh__acme.sh,cut,"-d -f",2
acmesh-official_acme.sh__acme.sh,cat,"",0
acmesh-official_acme.sh__acme.sh,echo,"",0
acmesh-official_acme.sh__acme.sh,sed,"",0
acmesh-official_acme.sh__acme.sh,echo,"",0
acmesh-official_acme.sh__acme.sh,sed,"",0
acmesh-official_acme.sh__acme.sh,echo,"",0
acmesh-official_acme.sh__acme.sh,sed,"",0
acmesh-official_acme.sh__acme.sh,uname,"-a",1
acmesh-official_acme.sh__acme.sh,uname,"-a",1
acmesh-official_acme.sh__acme.sh,cut,"-c",1
acmesh-official_acme.sh__acme.sh,od,"-A -v -t",3
acmesh-official_acme.sh__acme.sh,tr,"-s",1
acmesh-official_acme.sh__acme.sh,sed,"",0
acmesh-official_acme.sh__acme.sh,tr,"-d",1
acmesh-official_acme.sh__acme.sh,sed,"",0
acmesh-official_acme.sh__acme.sh,tr,"-d",1
acmesh-official_acme.sh__acme.sh,tr,"-s",1
acmesh-official_acme.sh__acme.sh,cat,"",0
acmesh-official_acme.sh__acme.sh,sed,"",0
acmesh-official_acme.sh__acme.sh,sed,"",0
acmesh-official_acme.sh__acme.sh,echo,"",0
acmesh-official_acme.sh__acme.sh,sed,"",0
