file,tool,options,option_count
0gfoundation_0g-da-encoder__dev_support_download_params.sh,mkdir,"-p",1
0gfoundation_0g-da-encoder__dev_support_download_params.sh,echo,"",0
0gfoundation_0g-da-encoder__dev_support_download_params.sh,sha256sum,"",0
0gfoundation_0g-da-encoder__dev_support_download_params.sh,awk,"",0
0gfoundation_0g-da-encoder__dev_support_download_params.sh,echo,"",0
0gfoundation_0g-da-encoder__dev_support_download_params.sh,echo,"",0
0gfoundation_0g-da-encoder__dev_support_download_params.sh,echo,"",0
0gfoundation_0g-da-encoder__dev_support_download_params.sh,sha256sum,"",0
0gfoundation_0g-da-encoder__dev_support_download_params.sh,awk,"",0
0gfoundation_0g-da-encoder__dev_support_download_params.sh,echo,"-e",1
0gfoundation_0g-da-encoder__dev_support_download_params.sh,echo,"",0
0gfoundation_0g-da-node__dev_support_download_params.sh,mkdir,"-p",1
0gfoundation_0g-da-node__dev_support_download_params.sh,echo,"",0
0gfoundation_0g-da-node__dev_support_download_params.sh,sha256sum,"",0
0gfoundation_0g-da-node__dev_support_download_params.sh,awk,"",0
0gfoundation_0g-da-node__dev_support_download_params.sh,echo,"",0
0gfoundation_0g-da-node__dev_support_download_params.sh,echo,"",0
0gfoundation_0g-da-node__dev_support_download_params.sh,echo,"",0
0gfoundation_0g-da-node__dev_support_download_params.sh,sha256sum,"",0
0gfoundation_0g-da-node__dev_support_download_params.sh,awk,"",0
0gfoundation_0g-da-node__dev_support_download_params.sh,echo,"-e",1
0gfoundation_0g-da-node__dev_support_download_params.sh,echo,"",0
0lzi_workstation-config__setup.sh,echo,"",0
0lzi_workstation-config__setup.sh,echo,"",0
0lzi_workstation-config__setup.sh,echo,"",0
0lzi_workstation-config__setup.sh,tr,"",0
0lzi_workstation-config__setup.sh,echo,"",0
0lzi_workstation-config__setup.sh,echo,"",0
0lzi_workstation-config__setup.sh,echo,"",0
0lzi_workstation-config__setup.sh,echo,"",0
0lzi_workstation-config__setup.sh,echo,"",0
0lzi_workstation-config__setup.sh,echo,"",0
0lzi_workstation-config__setup.sh,tee,"",0
0lzi_workstation-config__setup.sh,echo,"",0
0lzi_workstation-config__setup.sh,echo,"",0
0lzi_workstation-config__setup.sh,echo,"",0
0lzi_workstation-config__setup.sh,echo,"",0
0lzi_workstation-config__setup.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,dirname,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,dirname,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"-e",1
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"-e",1
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"-e",1
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"-e",1
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"-e",1
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"-e",1
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"-e",1
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"-e",1
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"-e",1
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"-e",1
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,sed,"-e",1
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,cat,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,date,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,date,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,mkdir,"-p",1
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,mkdir,"-p",1
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,mkdir,"-p",1
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,mkdir,"-p",1
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,cat,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,date,"-u",1
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,cat,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,echo,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,cat,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,date,"-u",1
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,date,"-u",1
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,cp,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,mv,"",0
0xAxiom_AppFactory__app-factory_scripts_auto_plan_build.sh,cat,"",0
